obs,wage,female,nonwhite,union,education,exper,age,wind,femalenonw,lnwage,education_exper,_Ifemale_1,_IfemXeduca_1,_IfemXexper_1,_Inonwhite_1,_InonXeduca_1
25,8,1,0,1,12,14,32,0,0,2.079441547,168,1,12,14,0,0
26,13.68999958,1,1,0,12,20,38,0,1,2.616665602,240,1,12,20,1,12
27,19.89999962,0,0,0,12,26,44,1,0,2.990719795,312,0,0,0,0,0
28,22,1,1,1,12,17,35,0,1,3.091042519,204,1,12,17,1,12
29,6.5,1,0,0,12,1,19,0,0,1.871802211,12,1,12,1,0,0
30,12,1,1,0,12,19,37,0,1,2.484906673,228,1,12,19,1,12
31,13.39000034,0,0,0,12,34,52,0,0,2.594508171,408,0,0,0,0,0
32,36.84999847,0,0,0,20,21,47,1,0,3.606855631,420,0,0,0,0,0
33,27.46999931,0,0,0,16,25,47,0,0,3.313094378,400,0,0,0,0,0
34,6,0,1,0,12,2,20,0,0,1.791759491,24,0,0,0,1,12
35,21.54000092,1,0,1,18,19,43,1,0,3.069911718,342,1,18,19,0,0
36,12.43000031,0,0,0,12,7,25,1,0,2.520112991,84,0,0,0,0,0
37,19.70000076,0,0,0,12,33,51,1,0,2.980618715,396,0,0,0,0,0
38,7.5,1,0,0,12,11,29,1,0,2.014903069,132,1,12,11,0,0
39,25.95000076,0,0,0,18,12,36,1,0,3.256171703,216,0,0,0,0,0
40,25.95000076,1,0,0,16,13,35,1,0,3.256171703,208,1,16,13,0,0
41,11.52999973,1,0,0,18,29,53,1,0,2.44495225,522,1,18,29,0,0
42,5.5,1,0,0,12,2,20,0,0,1.704748034,24,1,12,2,0,0
43,9.619999886,0,0,0,12,10,28,1,0,2.263844252,120,0,0,0,0,0
44,5.25,1,1,0,12,3,21,0,1,1.65822804,36,1,12,3,1,12
45,11.5,0,0,0,12,9,27,0,0,2.44234705,108,0,0,0,0,0
46,17,0,0,0,16,30,52,0,0,2.833213329,480,0,0,0,0,0
47,11,0,0,1,12,30,48,0,0,2.397895336,360,0,0,0,0,0
48,13,1,0,0,12,29,47,0,0,2.564949274,348,1,12,29,0,0
49,7.320000172,0,0,0,12,2,20,0,0,1.990610361,24,0,0,0,0,0
50,5.5,0,0,0,12,6,24,0,0,1.704748034,72,0,0,0,0,0
51,11.52000046,0,0,0,12,33,51,1,0,2.444084644,396,0,0,0,0,0
52,15,0,0,0,12,37,55,1,0,2.708050251,444,0,0,0,0,0
53,13.5,0,0,1,12,16,34,0,0,2.602689743,192,0,0,0,0,0
54,6.75,1,0,0,11,12,29,0,0,1.909542561,132,1,11,12,0,0
55,12.5,0,0,0,12,12,30,1,0,2.525728703,144,0,0,0,0,0
56,7.099999905,0,0,0,9,28,43,0,0,1.96009481,252,0,0,0,0,0
57,6,0,1,0,11,35,52,0,0,1.791759491,385,0,0,0,1,11
58,14.43000031,0,0,0,16,9,31,1,0,2.669309378,144,0,0,0,0,0
59,13.77999973,1,0,0,16,2,24,1,0,2.623218298,32,1,16,2,0,0
60,5,1,1,0,12,7,25,0,1,1.609437943,84,1,12,7,1,12
61,4.489999771,1,1,1,10,31,47,0,1,1.501852632,310,1,10,31,1,10
62,10,0,0,0,5,42,53,0,0,2.302585125,210,0,0,0,0,0
63,5,1,0,0,12,37,55,0,0,1.609437943,444,1,12,37,0,0
64,17.68000031,1,0,1,16,33,55,1,0,2.872434139,528,1,16,33,0,0
65,4.380000114,1,1,0,12,23,41,1,1,1.477048755,276,1,12,23,1,12
66,6.880000114,1,0,0,12,12,30,1,0,1.92861867,144,1,12,12,0,0
67,12.5,1,0,0,12,25,43,0,0,2.525728703,300,1,12,25,0,0
68,13.89999962,1,0,0,16,8,30,1,0,2.631888866,128,1,16,8,0,0
69,7,0,0,0,12,41,59,0,0,1.945910096,492,0,0,0,0,0
70,12,0,0,1,11,32,49,0,0,2.484906673,352,0,0,0,0,0
71,9,0,0,0,12,15,33,0,0,2.197224617,180,0,0,0,0,0
72,6.5,0,0,0,11,6,23,0,0,1.871802211,66,0,0,0,0,0
73,16,0,0,1,12,42,60,0,0,2.77258873,504,0,0,0,0,0
74,2.130000114,1,0,0,12,12,30,0,0,0.756122053,144,1,12,12,0,0
75,9.619999886,0,1,0,12,21,39,1,0,2.263844252,252,0,0,0,1,12
76,20.20000076,1,0,0,18,21,45,1,0,3.005682707,378,1,18,21,0,0
77,14.43000031,1,0,0,20,2,28,1,0,2.669309378,40,1,20,2,0,0
78,35.83000183,0,0,0,20,20,46,1,0,3.578785658,400,0,0,0,0,0
79,16.67000008,1,0,0,14,11,31,0,0,2.813610792,154,1,14,11,0,0
80,23.07999992,0,0,1,18,25,49,1,0,3.138966322,450,0,0,0,0,0
81,4.25,0,0,0,14,7,27,0,0,1.446918964,98,0,0,0,0,0
82,5.5,1,0,0,12,25,43,0,0,1.704748034,300,1,12,25,0,0
83,15.59000015,0,0,0,12,36,54,0,0,2.746629715,432,0,0,0,0,0
84,6.940000057,1,1,0,14,26,46,1,1,1.937301755,364,1,14,26,1,14
85,25,1,0,0,14,30,50,0,0,3.218875885,420,1,14,30,0,0
86,5,0,0,0,12,3,21,0,0,1.609437943,36,0,0,0,0,0
87,15.68000031,1,0,1,16,21,43,1,0,2.752386093,336,1,16,21,0,0
88,9.529999733,1,1,0,12,19,37,1,1,2.254444599,228,1,12,19,1,12
89,11,0,0,0,12,7,25,0,0,2.397895336,84,0,0,0,0,0
90,4.25,1,0,0,12,0,18,0,0,1.446918964,0,1,12,0,0,0
91,4,1,1,0,12,34,52,0,1,1.386294365,408,1,12,34,1,12
92,8.25,0,0,0,12,15,33,0,0,2.11021328,180,0,0,0,0,0
93,22,0,0,1,12,15,33,0,0,3.091042519,180,0,0,0,0,0
94,5.150000095,1,0,0,12,1,19,0,0,1.63899672,12,1,12,1,0,0
95,4.699999809,0,0,0,16,1,23,0,0,1.54756248,16,0,0,0,0,0
96,8,0,0,0,1,26,33,0,0,2.079441547,26,0,0,0,0,0
97,12,0,1,1,11,32,49,0,0,2.484906673,352,0,0,0,1,11
98,2,1,0,0,5,14,25,1,0,0.693147182,70,1,5,14,0,0
99,5,0,0,0,9,12,27,1,0,1.609437943,108,0,0,0,0,0
100,7,0,0,0,12,3,21,0,0,1.945910096,36,0,0,0,0,0
101,12,0,0,1,5,30,41,0,0,2.484906673,150,0,0,0,0,0
102,17.48999977,0,0,0,12,14,32,1,0,2.861629248,168,0,0,0,0,0
103,6.75,0,1,0,10,9,25,1,0,1.909542561,90,0,0,0,1,10
104,6.5,1,1,0,14,5,25,0,1,1.871802211,70,1,14,5,1,14
105,4.5,1,0,0,1,26,33,0,0,1.504077435,26,1,1,26,0,0
106,8.649999619,1,1,0,16,18,40,1,1,2.157559395,288,1,16,18,1,16
107,10,0,0,0,9,8,23,0,0,2.302585125,72,0,0,0,0,0
108,5.5,1,0,0,1,20,27,0,0,1.704748034,20,1,1,20,0,0
109,7.5,0,0,0,12,2,20,0,0,2.014903069,24,0,0,0,0,0
110,3.569999933,1,0,0,16,1,23,1,0,1.272565603,16,1,16,1,0,0
111,18.25,1,1,1,16,21,43,1,1,2.90416503,336,1,16,21,1,16
112,16,0,0,0,14,26,46,0,0,2.77258873,364,0,0,0,0,0
113,25,0,0,1,18,33,57,1,0,3.218875885,594,0,0,0,0,0
114,12,1,0,0,12,41,59,0,0,2.484906673,492,1,12,41,0,0
115,15.35000038,1,0,0,12,22,40,1,0,2.73111558,264,1,12,22,0,0
116,16.67000008,1,0,0,12,28,46,0,0,2.813610792,336,1,12,28,0,0
117,6.25,0,0,1,12,38,56,0,0,1.83258152,456,0,0,0,0,0
118,4.25,1,0,0,12,37,55,0,0,1.446918964,444,1,12,37,0,0
119,17.29999924,0,0,0,16,15,37,1,0,2.850706339,240,0,0,0,0,0
120,20.82999992,0,0,1,12,38,56,1,0,3.036394358,456,0,0,0,0,0
121,18.45999908,0,0,1,16,30,52,1,0,2.91560626,480,0,0,0,0,0
122,10,0,0,0,10,2,18,0,0,2.302585125,20,0,0,0,0,0
123,11.55000019,0,0,0,12,15,33,1,0,2.446685553,180,0,0,0,0,0
124,11,1,0,0,14,7,27,0,0,2.397895336,98,1,14,7,0,0
125,15.89000034,1,0,0,16,24,46,1,0,2.765690088,384,1,16,24,0,0
126,23.07999992,0,1,0,16,14,36,1,0,3.138966322,224,0,0,0,1,16
127,4.25,1,0,0,5,22,33,0,0,1.446918964,110,1,5,22,0,0
128,5,0,0,0,7,7,20,0,0,1.609437943,49,0,0,0,0,0
129,17.45000076,1,0,0,12,23,41,1,0,2.859339714,276,1,12,23,0,0
130,12.81999969,1,0,0,16,25,47,1,0,2.551006317,400,1,16,25,0,0
131,6.800000191,0,1,0,12,2,20,0,0,1.916922688,24,0,0,0,1,12
132,4.25,1,0,0,10,5,21,0,0,1.446918964,50,1,10,5,0,0
133,8.649999619,1,1,0,12,38,56,1,1,2.157559395,456,1,12,38,1,12
134,8,1,0,1,12,36,54,0,0,2.079441547,432,1,12,36,0,0
135,13.25,1,0,0,14,25,45,0,0,2.583997488,350,1,14,25,0,0
136,6.75,0,0,0,12,17,35,0,0,1.909542561,204,0,0,0,0,0
137,5.5,1,0,0,1,24,31,0,0,1.704748034,24,1,1,24,0,0
138,7.5,0,0,0,12,19,37,1,0,2.014903069,228,0,0,0,0,0
139,9.25,1,0,0,16,21,43,1,0,2.224623442,336,1,16,21,0,0
140,29.12000084,0,0,0,16,22,44,1,0,3.371425152,352,0,0,0,0,0
141,24.75,0,0,0,16,19,41,1,0,3.208825588,304,0,0,0,0,0
142,8.960000038,1,0,1,12,41,59,0,0,2.192770243,492,1,12,41,0,0
143,8,0,0,0,12,6,24,0,0,2.079441547,72,0,0,0,0,0
144,7,1,0,0,12,1,19,0,0,1.945910096,12,1,12,1,0,0
145,17.29999924,1,0,1,16,37,59,1,0,2.850706339,592,1,16,37,0,0
146,12.02999973,0,0,0,12,10,28,1,0,2.487403393,120,0,0,0,0,0
147,9,0,1,1,16,4,26,0,0,2.197224617,64,0,0,0,1,16
148,5.5,0,0,0,12,0,18,0,0,1.704748034,0,0,0,0,0,0
149,4.449999809,1,0,0,11,1,18,0,0,1.492904067,11,1,11,1,0,0
150,6.059999943,1,0,1,12,1,19,1,0,1.801709771,12,1,12,1,0,0
151,21.62999916,0,0,0,16,12,34,1,0,3.074081182,192,0,0,0,0,0
152,5.829999924,0,0,0,12,2,20,1,0,1.763016939,24,0,0,0,0,0
153,43.25,0,0,0,18,13,37,1,0,3.766997337,234,0,0,0,0,0
154,37.5,0,0,0,12,22,40,1,0,3.624341011,264,0,0,0,0,0
155,8.18999958,0,0,0,12,13,31,0,0,2.102913857,156,0,0,0,0,0
156,21.62999916,0,0,0,16,12,34,1,0,3.074081182,192,0,0,0,0,0
157,6,1,0,0,12,17,35,0,0,1.791759491,204,1,12,17,0,0
158,9.75,1,0,0,16,7,29,0,0,2.277267218,112,1,16,7,0,0
159,8.649999619,1,0,0,16,10,32,1,0,2.157559395,160,1,16,10,0,0
160,7,1,0,0,12,24,42,0,0,1.945910096,288,1,12,24,0,0
161,6,0,0,0,7,24,37,0,0,1.791759491,168,0,0,0,0,0
162,10,1,0,1,12,7,25,0,0,2.302585125,84,1,12,7,0,0
163,12.5,1,0,0,12,13,31,0,0,2.525728703,156,1,12,13,0,0
164,25.47999954,1,0,1,18,30,54,1,0,3.23789382,540,1,18,30,0,0
165,5,1,0,0,12,4,22,0,0,1.609437943,48,1,12,4,0,0
166,14.43000031,1,1,0,16,5,27,1,1,2.669309378,80,1,16,5,1,16
167,24.46999931,1,0,0,16,33,55,1,0,3.197447777,528,1,16,33,0,0
168,28.85000038,0,0,1,20,23,49,1,0,3.3621099,460,0,0,0,0,0
169,42.72999954,0,0,0,20,13,39,1,0,3.754901171,260,0,0,0,0,0
170,7,0,1,0,16,15,37,0,0,1.945910096,240,0,0,0,1,16
171,9,1,1,0,16,23,45,0,1,2.197224617,368,1,16,23,1,16
172,7,0,1,0,12,3,21,0,0,1.945910096,36,0,0,0,1,12
173,18,0,0,0,12,22,40,0,0,2.890371799,264,0,0,0,0,0
174,18,0,0,0,12,22,40,0,0,2.890371799,264,0,0,0,0,0
175,13.55000019,1,0,1,16,24,46,1,0,2.606386662,384,1,16,24,0,0
176,9.300000191,1,0,0,12,20,38,0,0,2.230014324,240,1,12,20,0,0
177,14.23999977,0,0,0,16,17,39,1,0,2.656054974,272,0,0,0,0,0
178,18,1,0,0,18,9,33,0,0,2.890371799,162,1,18,9,0,0
179,9.090000153,1,0,0,12,16,34,1,0,2.207175016,192,1,12,16,0,0
180,17.63999939,1,0,0,12,13,31,1,0,2.870168924,156,1,12,13,0,0
181,11.52999973,1,0,0,16,14,36,1,0,2.44495225,224,1,16,14,0,0
182,19.14999962,0,0,1,14,11,31,0,0,2.952302694,154,0,0,0,0,0
183,12.19999981,1,0,0,12,15,33,0,0,2.501435995,180,1,12,15,0,0
184,14.43999958,0,0,0,12,7,25,1,0,2.670002222,84,0,0,0,0,0
185,15,1,0,0,16,29,51,0,0,2.708050251,464,1,16,29,0,0
186,9.539999962,1,0,0,12,27,45,0,0,2.255493402,324,1,12,27,0,0
187,17.45000076,0,0,0,12,23,41,0,0,2.859339714,276,0,0,0,0,0
188,24,1,0,0,14,16,36,0,0,3.178053856,224,1,14,16,0,0
189,14.43000031,0,0,0,18,8,32,1,0,2.669309378,144,0,0,0,0,0
190,16.35000038,0,0,0,16,8,30,1,0,2.794227839,128,0,0,0,0,0
191,5,1,0,0,12,6,24,0,0,1.609437943,72,1,12,6,0,0
192,18.70000076,1,0,0,16,11,33,0,0,2.92852354,176,1,16,11,0,0
193,8,0,0,0,12,47,65,0,0,2.079441547,564,0,0,0,0,0
194,18.75,0,0,1,12,16,34,0,0,2.931193829,192,0,0,0,0,0
195,5.5,1,0,0,12,1,19,0,0,1.704748034,12,1,12,1,0,0
196,4.920000076,1,0,0,12,40,58,1,0,1.593308568,480,1,12,40,0,0
197,7,1,0,0,16,1,23,0,0,1.945910096,16,1,16,1,0,0
198,4.5,0,0,0,12,4,22,0,0,1.504077435,48,0,0,0,0,0
199,8.199999809,1,0,0,12,33,51,0,0,2.104134083,396,1,12,33,0,0
200,17.25,0,0,0,12,27,45,0,0,2.847812176,324,0,0,0,0,0
201,12.02999973,1,0,0,12,12,30,1,0,2.487403393,144,1,12,12,0,0
202,18.20000076,1,0,0,12,18,36,0,0,2.901421547,216,1,12,18,0,0
203,2.859999895,1,0,0,12,13,31,1,0,1.050821543,156,1,12,13,0,0
204,12,0,0,0,7,29,42,0,0,2.484906673,203,0,0,0,0,0
205,14.69999981,1,0,0,14,22,42,1,0,2.687847376,308,1,14,22,0,0
206,24,0,0,1,12,33,51,0,0,3.178053856,396,0,0,0,0,0
207,14.42000008,1,0,0,14,13,33,0,0,2.668616056,182,1,14,13,0,0
208,9,1,0,1,12,24,42,0,0,2.197224617,288,1,12,24,0,0
209,19.71999931,0,0,0,16,23,45,0,0,2.981633425,368,0,0,0,0,0
210,8,1,0,0,18,13,37,0,0,2.079441547,234,1,18,13,0,0
211,12,0,0,0,12,9,27,0,0,2.484906673,108,0,0,0,0,0
212,13.15999985,1,0,0,12,4,22,1,0,2.577181816,48,1,12,4,0,0
213,11.25,0,0,0,12,12,30,1,0,2.420368195,144,0,0,0,0,0
214,18,0,0,1,12,18,36,0,0,2.890371799,216,0,0,0,0,0
215,13.5,0,0,0,16,3,25,0,0,2.602689743,48,0,0,0,0,0
216,8.75,0,0,0,12,6,24,0,0,2.169053793,72,0,0,0,0,0
217,12.72000027,0,0,0,16,18,40,0,0,2.543175697,288,0,0,0,0,0
218,11.31000042,1,0,0,14,10,30,0,0,2.425687313,140,1,14,10,0,0
219,6,1,0,0,12,0,18,0,0,1.791759491,0,1,12,0,0,0
220,9,0,0,0,12,7,25,0,0,2.197224617,84,0,0,0,0,0
221,21.46999931,0,0,0,16,8,30,1,0,3.06665659,128,0,0,0,0,0
222,5,0,1,0,12,12,30,0,0,1.609437943,144,0,0,0,1,12
223,12.5,1,1,0,12,42,60,1,1,2.525728703,504,1,12,42,1,12
224,25.47999954,1,1,0,20,27,53,1,1,3.23789382,540,1,20,27,1,20
225,14.40999985,0,1,1,12,22,40,0,0,2.667922497,264,0,0,0,1,12
226,10.10000038,0,1,1,16,4,26,1,0,2.312535524,64,0,0,0,1,16
227,7.199999809,0,1,0,12,5,23,1,0,1.974081039,60,0,0,0,1,12
228,14.39999962,1,1,0,12,19,37,1,1,2.667228222,228,1,12,19,1,12
229,9.100000381,1,1,1,12,32,50,0,1,2.208274364,384,1,12,32,1,12
230,23.07999992,0,0,0,20,3,29,1,0,3.138966322,60,0,0,0,0,0
231,7,1,0,0,16,3,25,0,0,1.945910096,48,1,16,3,0,0
232,19.28000069,0,0,0,12,15,33,0,0,2.959068298,180,0,0,0,0,0
233,8.710000038,1,0,0,12,17,35,1,0,2.164471865,204,1,12,17,0,0
234,9.380000114,1,0,0,12,43,61,1,0,2.23857975,516,1,12,43,0,0
235,12,0,0,0,9,23,38,0,0,2.484906673,207,0,0,0,0,0
236,13,0,0,0,12,10,28,0,0,2.564949274,120,0,0,0,0,0
237,9.630000114,0,0,0,12,15,33,1,0,2.26488328,180,0,0,0,0,0
238,16.45000076,1,0,0,16,41,63,1,0,2.800325632,656,1,16,41,0,0
239,5,1,0,0,12,20,38,1,0,1.609437943,240,1,12,20,0,0
240,20.82999992,1,0,0,14,26,46,1,0,3.036394358,364,1,14,26,0,0
241,7,0,1,0,12,8,26,0,0,1.945910096,96,0,0,0,1,12
242,10,0,0,0,12,6,24,0,0,2.302585125,72,0,0,0,0,0
243,13,0,1,0,12,44,62,0,0,2.564949274,528,0,0,0,1,12
244,22,0,0,0,12,22,40,1,0,3.091042519,264,0,0,0,0,0
245,8,0,0,0,14,2,22,0,0,2.079441547,28,0,0,0,0,0
246,6,0,0,0,12,22,40,0,0,1.791759491,264,0,0,0,0,0
247,23.09000015,1,0,0,20,17,43,1,0,3.139399529,340,1,20,17,0,0
248,19.22999954,1,0,0,16,27,49,1,0,2.956471443,432,1,16,27,0,0
249,8,0,0,0,14,4,24,0,0,2.079441547,56,0,0,0,0,0
250,11.10999966,0,0,0,12,14,32,1,0,2.407845497,168,0,0,0,0,0
251,4.599999905,1,1,1,5,43,54,0,1,1.52605629,215,1,5,43,1,5
252,11.81999969,0,0,0,14,37,57,1,0,2.469793081,518,0,0,0,0,0
253,4.550000191,0,0,0,12,5,23,0,0,1.515127301,60,0,0,0,0,0
254,10,0,0,0,12,19,37,0,0,2.302585125,228,0,0,0,0,0
255,7.409999847,1,1,0,10,29,45,0,1,2.002830505,290,1,10,29,1,10
256,28.82999992,0,0,0,16,21,43,1,0,3.361416578,336,0,0,0,0,0
257,4.5,1,0,0,11,1,18,0,0,1.504077435,11,1,11,1,0,0
258,11,0,0,0,12,16,34,0,0,2.397895336,192,0,0,0,0,0
259,10.07999992,1,0,0,12,39,57,1,0,2.310553312,468,1,12,39,0,0
260,9.050000191,1,0,0,12,38,56,0,0,2.20276475,456,1,12,38,0,0
261,8,1,1,0,12,9,27,0,1,2.079441547,108,1,12,9,1,12
262,5.150000095,1,1,0,12,2,20,0,1,1.63899672,24,1,12,2,1,12
263,5,0,1,0,12,3,21,0,0,1.609437943,36,0,0,0,1,12
264,12.02999973,1,0,0,12,6,24,1,0,2.487403393,72,1,12,6,0,0
265,16.82999992,1,0,0,16,25,47,1,0,2.823163033,400,1,16,25,0,0
266,2.099999905,1,0,0,18,27,51,0,0,0.74193728,486,1,18,27,0,0
267,28.22999954,0,0,0,20,24,50,1,0,3.340385199,480,0,0,0,0,0
268,7,0,0,0,9,17,32,0,0,1.945910096,153,0,0,0,0,0
269,6,1,1,0,12,5,23,0,1,1.791759491,60,1,12,5,1,12
270,10.10000038,1,0,0,18,15,39,1,0,2.312535524,270,1,18,15,0,0
271,18,1,0,0,14,6,26,0,0,2.890371799,84,1,14,6,0,0
272,6.75,1,0,0,12,22,40,0,0,1.909542561,264,1,12,22,0,0
273,11.21000004,1,0,1,12,11,29,0,0,2.416806221,132,1,12,11,0,0
274,10,0,0,0,12,31,49,0,0,2.302585125,372,0,0,0,0,0
275,5,1,1,0,11,39,56,0,1,1.609437943,429,1,11,39,1,11
276,15,1,0,0,12,15,33,1,0,2.708050251,180,1,12,15,0,0
277,14.09000015,0,0,0,12,19,37,1,0,2.645465374,228,0,0,0,0,0
278,6.929999828,1,0,0,12,10,28,1,0,1.935859799,120,1,12,10,0,0
279,6.739999771,1,1,0,12,20,38,0,1,1.908059835,240,1,12,20,1,12
280,16,0,0,0,14,17,37,0,0,2.77258873,238,0,0,0,0,0
281,6.25,1,0,0,11,34,51,1,0,1.83258152,374,1,11,34,0,0
282,10,0,0,0,14,32,52,1,0,2.302585125,448,0,0,0,0,0
283,9.579999924,1,0,0,12,14,32,0,0,2.259677649,168,1,12,14,0,0
284,21.14999962,1,0,0,18,15,39,1,0,3.051639795,270,1,18,15,0,0
285,6.5,0,0,0,9,3,18,0,0,1.871802211,27,0,0,0,0,0
286,8.029999733,1,0,0,7,38,51,0,0,2.083184481,266,1,7,38,0,0
287,24.03000069,0,0,0,14,36,56,1,0,3.179303169,504,0,0,0,0,0
288,12.97999954,0,0,0,16,23,45,1,0,2.563409567,368,0,0,0,0,0
289,23.39999962,0,0,0,20,6,32,1,0,3.152735949,120,0,0,0,0,0
290,15.88000011,1,1,0,12,15,33,1,1,2.765060425,180,1,12,15,1,12
291,11.77999973,0,0,0,12,41,59,1,0,2.466403246,492,0,0,0,0,0
292,7,1,0,0,12,39,57,0,0,1.945910096,468,1,12,39,0,0
293,15.10000038,0,0,0,16,16,38,0,0,2.714694738,256,0,0,0,0,0
294,21,1,0,0,14,25,45,0,0,3.044522524,350,1,14,25,0,0
295,5.5,1,1,0,16,10,32,0,1,1.704748034,160,1,16,10,1,16
296,9.319999695,0,1,1,12,12,30,0,0,2.232162714,144,0,0,0,1,12
297,14.43000031,1,1,0,12,29,47,1,1,2.669309378,348,1,12,29,1,12
298,4,0,1,0,1,33,40,0,0,1.386294365,33,0,0,0,1,1
299,8.75,0,0,0,9,31,46,0,0,2.169053793,279,0,0,0,0,0
300,8.5,0,0,0,9,7,22,0,0,2.140066147,63,0,0,0,0,0
301,8,0,0,0,7,30,43,0,0,2.079441547,210,0,0,0,0,0
302,25,0,1,0,20,2,28,1,0,3.218875885,40,0,0,0,1,20
303,24.03000069,0,0,0,18,24,48,1,0,3.179303169,432,0,0,0,0,0
304,6,1,0,0,14,36,56,1,0,1.791759491,504,1,14,36,0,0
305,5.820000172,0,1,0,12,11,29,0,0,1.761300325,132,0,0,0,1,12
306,15,0,0,0,12,15,33,0,0,2.708050251,180,0,0,0,0,0
307,11.5,1,1,1,16,29,51,0,1,2.44234705,464,1,16,29,1,16
308,24.03000069,0,1,1,14,40,60,1,0,3.179303169,560,0,0,0,1,14
309,4.25,1,1,0,12,9,27,0,1,1.446918964,108,1,12,9,1,12
310,8.649999619,1,1,0,10,8,24,1,1,2.157559395,80,1,10,8,1,10
311,5.5,0,1,0,12,1,19,0,0,1.704748034,12,0,0,0,1,12
312,19.19000053,0,1,1,12,39,57,0,0,2.954389334,468,0,0,0,1,12
313,19.10000038,1,0,1,18,26,50,1,0,2.949688435,468,1,18,26,0,0
314,14,0,1,0,12,26,44,0,0,2.639057398,312,0,0,0,1,12
315,4.440000057,0,0,0,16,15,37,1,0,1.490654349,240,0,0,0,0,0
316,16.82999992,1,0,0,18,28,52,1,0,2.823163033,504,1,18,28,0,0
317,7,1,0,0,12,24,42,0,0,1.945910096,288,1,12,24,0,0
318,23.17000008,0,0,0,12,37,55,0,0,3.142858267,444,0,0,0,0,0
319,10.97999954,0,0,0,12,11,29,0,0,2.396075487,132,0,0,0,0,0
320,5.25,0,1,0,12,0,18,0,0,1.65822804,0,0,0,0,1,12
321,17.29999924,0,0,0,14,26,46,1,0,2.850706339,364,0,0,0,0,0
322,7.179999828,1,0,1,12,21,39,0,0,1.97129941,252,1,12,21,0,0
323,6.25,0,0,0,16,22,44,1,0,1.83258152,352,0,0,0,0,0
324,7,1,0,0,12,46,64,0,0,1.945910096,552,1,12,46,0,0
325,11.53999996,1,0,1,12,35,53,1,0,2.445819139,420,1,12,35,0,0
326,7.300000191,1,0,0,12,0,18,0,0,1.987874389,0,1,12,0,0,0
327,7,1,0,0,16,3,25,0,0,1.945910096,48,1,16,3,0,0
328,8,0,0,0,12,8,26,0,0,2.079441547,96,0,0,0,0,0
329,7,0,0,1,12,41,59,0,0,1.945910096,492,0,0,0,0,0
330,5.5,1,1,0,12,2,20,0,1,1.704748034,24,1,12,2,1,12
331,10,1,1,0,12,9,27,0,1,2.302585125,108,1,12,9,1,12
332,40,0,0,0,18,41,65,1,0,3.68887949,738,0,0,0,0,0
333,11.53999996,1,0,0,16,3,25,1,0,2.445819139,48,1,16,3,0,0
334,14.43000031,1,0,0,12,6,24,1,0,2.669309378,72,1,12,6,0,0
335,22.5,0,0,0,18,3,27,1,0,3.113515377,54,0,0,0,0,0
336,8.420000076,1,0,0,12,23,41,1,0,2.130609751,276,1,12,23,0,0
337,13.75,0,0,0,12,36,54,0,0,2.621038914,432,0,0,0,0,0
338,5.340000153,1,0,0,12,32,50,0,0,1.675225735,384,1,12,32,0,0
339,12.02999973,0,1,0,12,8,26,1,0,2.487403393,96,0,0,0,1,12
340,7,1,1,1,12,7,25,0,1,1.945910096,84,1,12,7,1,12
341,5.099999905,0,0,0,5,36,47,0,0,1.629240513,180,0,0,0,0,0
342,12.5,1,0,0,18,0,24,1,0,2.525728703,0,1,18,0,0,0
343,16,1,0,0,16,9,31,0,0,2.77258873,144,1,16,9,0,0
