date,MSFT,GE,GM,IBM,DIS,XOM,MKT,RKFREE,MSFT.r,GE.r,GM.r,IBM.r,DIS.r,XOM.r,MKT.r,MSFT.rr,GE.rr,GM.rr,IBM.rr,DIS.rr,XOM.rr,MKT.rr
1996-07-14,-0.01873,-0.04657,-0.06921,0.08586,-0.11356,-0.05324,-0.05381,0.0045,-0.02323,-0.05107,-0.07371,0.08136,-0.11806,-0.05774,-0.05831,-2.323,-5.107,-7.371,8.136,-11.806,-5.774,-5.831
1996-08-14,0.03924,0.01064,0.02615,0.06721,0.02472,0.00049,0.03247,0.0041,0.03514,0.00654,0.02205,0.06311,0.02062,-0.00361,0.02837,3.514,0.654,2.205,6.311,2.062,-0.361,2.837
1996-09-14,0.07653,0.10027,-0.03275,0.08852,0.10965,0.02147,0.05299,0.0044,0.07213,0.09587,-0.03715,0.08412,0.10525,0.01707,0.04859,7.213,9.587,-3.715,8.412,10.525,1.707,4.859
1996-10-14,0.04076,0.06319,0.11719,0.03614,0.04324,0.06456,0.01363,0.0042,0.03656,0.05899,0.11299,0.03194,0.03904,0.06036,0.00943,3.656,5.899,11.299,3.194,3.904,6.036,0.943
1996-11-14,0.14299,0.07494,0.08205,0.23818,0.12144,0.07379,0.06552,0.0041,0.13889,0.07084,0.07795,0.23408,0.11734,0.06969,0.06142,13.889,7.084,7.795,23.408,11.734,6.969,6.142
1996-12-14,0.05339,-0.04428,-0.03254,-0.04941,-0.05584,0.03841,-0.01136,0.0046,0.04879,-0.04888,-0.03714,-0.05401,-0.06044,0.03381,-0.01596,4.879,-4.888,-3.714,-5.401,-6.044,3.381,-1.596
1997-01-14,0.23449,0.04678,0.0583,0.03548,0.04638,0.0574,0.05345,0.0045,0.22999,0.04228,0.0538,0.03098,0.04188,0.0529,0.04895,22.999,4.228,5.38,3.098,4.188,5.29,4.895
1997-02-14,-0.04412,-0.00604,-0.01059,-0.08143,0.01887,-0.02495,-0.00116,0.0039,-0.04802,-0.00994,-0.01449,-0.08533,0.01497,-0.02885,-0.00506,-4.802,-0.994,-1.449,-8.533,1.497,-2.885,-0.506
1997-03-14,-0.05962,-0.03018,-0.0432,-0.04522,-0.01852,0.07481,-0.04481,0.0043,-0.06392,-0.03448,-0.0475,-0.04952,-0.02282,0.07051,-0.04911,-6.392,-3.448,-4.75,-4.952,-2.282,7.051,-4.911
1997-04-14,0.32515,0.11839,0.04515,0.1694,0.1236,0.05104,0.0423,0.0043,0.32085,0.11409,0.04085,0.1651,0.1193,0.04674,0.038,32.085,11.409,4.085,16.51,11.93,4.674,3.8
1997-05-14,0.02058,0.08784,0,0.08037,0.00153,0.0536,0.07163,0.0049,0.01568,0.08294,-0.0049,0.07547,-0.00337,0.0487,0.06673,1.568,8.294,-0.49,7.547,-0.337,4.87,6.673
1997-06-14,0.01915,0.0766,-0.02832,0.04335,-0.01985,0.03376,0.04413,0.0037,0.01545,0.0729,-0.03202,0.03965,-0.02355,0.03006,0.04043,1.545,7.29,-3.202,3.965,-2.355,3.006,4.043
1997-07-14,0.11968,0.08285,0.10987,0.17175,0.00866,0.04898,0.07652,0.0043,0.11538,0.07855,0.10557,0.16745,0.00436,0.04468,0.07222,11.538,7.855,10.557,16.745,0.436,4.468,7.222
1997-08-14,-0.06581,-0.10784,0.02222,-0.03948,-0.0495,-0.04128,-0.03624,0.0041,-0.06991,-0.11194,0.01812,-0.04358,-0.0536,-0.04538,-0.04034,-6.991,-11.194,1.812,-4.358,-5.36,-4.538,-4.034
1997-09-14,0.00095,0.09207,0.06673,0.04562,0.04963,0.04699,0.05846,0.0044,-0.00345,0.08767,0.06233,0.04122,0.04523,0.04259,0.05406,-0.345,8.767,6.233,4.122,4.523,4.259,5.406
1997-10-14,-0.01748,-0.05051,-0.04108,-0.07075,0.02335,-0.04098,-0.03448,0.0042,-0.02168,-0.05471,-0.04528,-0.07495,0.01915,-0.04518,-0.03868,-2.168,-5.471,-4.528,-7.495,1.915,-4.518,-3.868
1997-11-14,0.08846,0.14313,-0.04284,0.11371,0.1525,-0.00045,0.0305,0.0039,0.08456,0.13923,-0.04674,0.10981,0.1486,-0.00435,0.0266,8.456,13.923,-4.674,10.981,14.86,-0.435,2.66
1997-12-14,-0.08657,-0.00271,0.05804,-0.04452,0.04279,0.00307,0.01775,0.0048,-0.09137,-0.00751,0.05324,-0.04932,0.03799,-0.00173,0.01295,-9.137,-0.751,5.324,-4.932,3.799,-0.173,1.295
1998-01-14,0.15426,0.05622,-0.0463,-0.05615,0.08088,-0.03064,0.00453,0.0043,0.14996,0.05192,-0.0506,-0.06045,0.07658,-0.03494,0.00023,14.996,5.192,-5.06,-6.045,7.658,-3.494,0.023
1998-02-14,0.13615,0.00323,0.19849,0.05962,0.04737,0.08173,0.07322,0.0039,0.13225,-0.00067,0.19459,0.05572,0.04347,0.07783,0.06932,13.225,-0.067,19.459,5.572,4.347,7.783,6.932
1998-03-14,0.05605,0.11238,-0.01723,-0.00539,-0.04634,0.06078,0.05132,0.0039,0.05215,0.10848,-0.02113,-0.00929,-0.05024,0.05688,0.04742,5.215,10.848,-2.113,-0.929,-5.024,5.688,4.742
1998-04-14,0.00698,-0.0116,-0.00554,0.11552,0.16834,0.08041,0.01088,0.0043,0.00268,-0.0159,-0.00984,0.11122,0.16404,0.07611,0.00658,0.268,-1.59,-0.984,11.122,16.404,7.611,0.658
1998-05-14,-0.05895,-0.02128,0.07421,0.01592,-0.09082,-0.02946,-0.02573,0.004,-0.06295,-0.02528,0.07021,0.01192,-0.09482,-0.03346,-0.02973,-6.295,-2.528,7.021,1.192,-9.482,-3.346,-2.973
1998-06-14,0.27782,0.08996,-0.07043,-0.02287,-0.0723,0.01241,0.032,0.0041,0.27372,0.08586,-0.07453,-0.02697,-0.0764,0.00831,0.0279,27.372,8.586,-7.453,-2.697,-7.64,0.831,2.79
1998-07-14,0.01442,-0.01252,0.08232,0.15406,-0.01516,-0.01576,-0.02324,0.004,0.01042,-0.01652,0.07832,0.15006,-0.01916,-0.01976,-0.02724,1.042,-1.652,7.832,15.006,-1.916,-1.976,-2.724
1998-08-14,-0.12735,-0.10552,-0.18928,-0.14834,-0.20327,-0.06267,-0.15763,0.0043,-0.13165,-0.10982,-0.19358,-0.15264,-0.20757,-0.06697,-0.16193,-13.165,-10.982,-19.358,-15.264,-20.757,-6.697,-16.193
1998-09-14,0.14723,-0.00172,-0.05591,0.14095,-0.07517,0.07927,0.06383,0.0046,0.14263,-0.00632,-0.06051,0.13635,-0.07977,0.07467,0.05923,14.263,-0.632,-6.051,13.635,-7.977,7.467,5.923
1998-10-14,-0.03805,0.09976,0.15148,0.15564,0.06365,0.01416,0.07436,0.0032,-0.04125,0.09656,0.14828,0.15244,0.06045,0.01096,0.07116,-4.125,9.656,14.828,15.244,6.045,1.096,7.116
1998-11-14,0.1523,0.03286,0.11375,0.11343,0.1949,0.05284,0.062,0.0031,0.1492,0.02976,0.11065,0.11033,0.1918,0.04974,0.0589,14.92,2.976,11.065,11.033,19.18,4.974,5.89
1998-12-14,0.13678,0.1325,0.02415,0.11658,-0.06796,-0.025,0.06306,0.0038,0.13298,0.1287,0.02035,0.11278,-0.07176,-0.0288,0.05926,13.298,12.87,2.035,11.278,-7.176,-2.88,5.926
1999-01-14,0.26183,0.02819,0.25415,-0.0061,0.1,-0.03932,0.03835,0.0035,0.25833,0.02469,0.25065,-0.0096,0.0965,-0.04282,0.03485,25.833,2.469,25.065,-0.96,9.65,-4.282,3.485
1999-02-14,-0.14214,-0.0435,-0.07451,-0.07247,0.06629,-0.04665,-0.03811,0.0035,-0.14564,-0.047,-0.07801,-0.07597,0.06279,-0.05015,-0.04161,-14.564,-4.7,-7.801,-7.597,6.279,-5.015,-4.161
1999-03-14,0.194,0.10629,0.05435,0.04418,-0.11545,0.06009,0.03787,0.0043,0.1897,0.10199,0.05005,0.03988,-0.11975,0.05579,0.03357,18.97,10.199,5.005,3.988,-11.975,5.579,3.357
1999-04-14,-0.09275,-0.04746,0.02371,0.18018,0.02008,0.17715,0.04897,0.0037,-0.09645,-0.05116,0.02001,0.17648,0.01638,0.17345,0.04527,-9.645,-5.116,2.001,17.648,1.638,17.345,4.527
1999-05-14,-0.00769,-0.03499,-0.07125,0.1102,-0.08268,-0.03344,-0.02074,0.0034,-0.01109,-0.03839,-0.07465,0.1068,-0.08608,-0.03684,-0.02414,-1.109,-3.839,-7.465,10.68,-8.608,-3.684,-2.414
1999-06-14,0.11774,0.11125,-0.04348,0.11422,0.05794,-0.03443,0.05096,0.004,0.11374,0.10725,-0.04748,0.11022,0.05394,-0.03843,0.04696,11.374,10.725,-4.748,11.022,5.394,-3.843,4.696
1999-07-14,-0.04851,-0.0323,-0.07386,-0.02756,-0.10548,0.02917,-0.03059,0.0038,-0.05231,-0.0361,-0.07766,-0.03136,-0.10928,0.02537,-0.03439,-5.231,-3.61,-7.766,-3.136,-10.928,2.537,-3.439
1999-08-14,0.07866,0.03039,0.09202,-0.008,0.0068,-0.00113,-0.01,0.0039,0.07476,0.02649,0.08812,-0.0119,0.0029,-0.00503,-0.0139,7.476,2.649,8.812,-1.19,0.29,-0.503,-1.39
1999-09-14,-0.02161,0.05876,-0.05,-0.0286,-0.06306,-0.03645,-0.02284,0.0039,-0.02551,0.05486,-0.0539,-0.0325,-0.06696,-0.04035,-0.02674,-2.551,5.486,-5.39,-3.25,-6.696,-4.035,-2.674
1999-10-14,0.02208,0.14286,0.11917,-0.18802,0.01923,-0.02549,0.06205,0.0039,0.01818,0.13896,0.11527,-0.19192,0.01533,-0.02939,0.05815,1.818,13.896,11.527,-19.192,1.533,-2.939,5.815
1999-11-14,-0.01637,-0.03967,0.02928,0.0502,0.05981,0.07683,0.03687,0.0036,-0.01997,-0.04327,0.02568,0.0466,0.05621,0.07323,0.03327,-1.997,-4.327,2.568,4.66,5.621,7.323,3.327
1999-12-14,0.28231,0.19239,0.00955,0.04669,0.04933,0.01576,0.0839,0.0044,0.27791,0.18799,0.00515,0.04229,0.04493,0.01136,0.0795,27.791,18.799,0.515,4.229,4.493,1.136,7.95
2000-01-14,-0.16167,-0.13651,0.10834,0.04056,0.24145,0.03569,-0.03977,0.0041,-0.16577,-0.14061,0.10424,0.03646,0.23735,0.03159,-0.04387,-16.577,-14.061,10.424,3.646,23.735,3.159,-4.387
2000-02-14,-0.08685,-0.00935,-0.04965,-0.08356,-0.07745,-0.0921,0.03178,0.0043,-0.09115,-0.01365,-0.05395,-0.08786,-0.08175,-0.0964,0.02748,-9.115,-1.365,-5.395,-8.786,-8.175,-9.64,2.748
2000-03-14,0.18881,0.17873,0.08874,0.14842,0.23134,0.03485,0.05353,0.0047,0.18411,0.17403,0.08404,0.14372,0.22664,0.03015,0.04883,18.411,17.403,8.404,14.372,22.664,3.015,4.883
2000-04-14,-0.34353,0.01044,0.13057,-0.05508,0.05,-0.00321,-0.05949,0.0046,-0.34813,0.00584,0.12597,-0.05968,0.0454,-0.00781,-0.06409,-34.813,0.584,12.597,-5.968,4.54,-0.781,-6.409
2000-05-14,-0.10305,0.00517,-0.24032,-0.03583,-0.03175,0.07807,-0.03905,0.005,-0.10805,0.00017,-0.24532,-0.04083,-0.03675,0.07307,-0.04405,-10.805,0.017,-24.532,-4.083,-3.675,7.307,-4.405
2000-06-14,0.27872,0.00593,-0.17788,0.02037,-0.07452,-0.05776,0.05168,0.004,0.27472,0.00193,-0.18188,0.01637,-0.07852,-0.06176,0.04768,27.472,0.193,-18.188,1.637,-7.852,-6.176,4.768
2000-07-14,-0.12734,-0.0269,-0.01938,0.02624,-0.00322,0.01911,-0.01711,0.0048,-0.13214,-0.0317,-0.02418,0.02144,-0.00802,0.01431,-0.02191,-13.214,-3.17,-2.418,2.144,-0.802,1.431,-2.191
2000-08-14,0,0.14095,0.27662,0.17514,0.00646,0.02581,0.07636,0.005,-0.005,0.13595,0.27162,0.17014,0.00146,0.02081,0.07136,-0.5,13.595,27.162,17.014,0.146,2.081,7.136
2000-09-14,-0.13608,-0.01471,-0.09957,-0.14773,-0.01766,0.09188,-0.05112,0.0051,-0.14118,-0.01981,-0.10467,-0.15283,-0.02276,0.08678,-0.05622,-14.118,-1.981,-10.467,-15.283,-2.276,8.678,-5.622
2000-10-14,0.14197,-0.04984,-0.04423,-0.12444,-0.06373,7.00E-04,-0.02455,0.0056,0.13637,-0.05544,-0.04983,-0.13004,-0.06933,-0.0049,-0.03015,13.637,-5.544,-4.983,-13.004,-6.933,-0.49,-3.015
2000-11-14,-0.16697,-0.09578,-0.19517,-0.04944,-0.19197,-0.00838,-0.10254,0.0051,-0.17207,-0.10088,-0.20027,-0.05454,-0.19707,-0.01348,-0.10764,-17.207,-10.088,-20.027,-5.454,-19.707,-1.348,-10.764
2000-12-14,-0.24401,-0.02956,0.02904,-0.09091,0.00726,-0.01207,0.02033,0.005,-0.24901,-0.03456,0.02404,-0.09591,0.00226,-0.01707,0.01533,-24.901,-3.456,2.404,-9.591,0.226,-1.707,1.533
2001-01-14,0.40778,-0.04083,0.05423,0.31765,0.05227,-0.03206,0.03954,0.0054,0.40238,-0.04623,0.04883,0.31225,0.04687,-0.03746,0.03414,40.238,-4.623,4.883,31.225,4.687,-3.746,3.414
2001-02-14,-0.03378,0.01131,0.00223,-0.10687,0.01642,-0.03161,-0.09927,0.0039,-0.03768,0.00741,-0.00167,-0.11077,0.01252,-0.03551,-0.10317,-3.768,0.741,-0.167,-11.077,1.252,-3.551,-10.317
2001-03-14,-0.07309,-0.09634,-0.02757,-0.03724,-0.07593,-0.00062,-0.07031,0.0044,-0.07749,-0.10074,-0.03197,-0.04164,-0.08033,-0.00502,-0.07471,-7.749,-10.074,-3.197,-4.164,-8.033,-0.502,-7.471
2001-04-14,0.23886,0.15934,0.05709,0.19713,0.05769,0.09383,0.08392,0.0039,0.23496,0.15544,0.05319,0.19323,0.05379,0.08993,0.08002,23.496,15.544,5.319,19.323,5.379,8.993,8.002
2001-05-14,0.02111,0.00968,0.04725,-0.02779,0.04529,0.00666,0.01056,0.0032,0.01791,0.00648,0.04405,-0.03099,0.04209,0.00346,0.00736,1.791,0.648,4.405,-3.099,4.209,0.346,0.736
2001-06-14,0.05522,-0.0051,0.13093,0.01073,-0.08634,-0.01555,-0.01748,0.0028,0.05242,-0.0079,0.12813,0.00793,-0.08914,-0.01835,-0.02028,5.242,-0.79,12.813,0.793,-8.914,-1.835,-2.028
2001-07-14,-0.09329,-0.10441,-0.01166,-0.06894,-0.08792,-0.04385,-0.01834,0.003,-0.09629,-0.10741,-0.01466,-0.07194,-0.09092,-0.04685,-0.02134,-9.629,-10.741,-1.466,-7.194,-9.092,-4.685,-2.134
2001-08-14,-0.13809,-0.05793,-0.13129,-0.04866,-0.03491,-0.03305,-0.0591,0.0031,-0.14119,-0.06103,-0.13439,-0.05176,-0.03801,-0.03615,-0.0622,-14.119,-6.103,-13.439,-5.176,-3.801,-3.615,-6.22
2001-09-14,-0.10307,-0.08834,-0.21644,-0.08234,-0.26779,-0.01868,-0.09152,0.0028,-0.10587,-0.09114,-0.21924,-0.08514,-0.27059,-0.02148,-0.09432,-10.587,-9.114,-21.924,-8.514,-27.059,-2.148,-9.432
2001-10-14,0.13641,-0.02124,-0.03683,0.17826,-0.00161,0.00127,0.02799,0.0022,0.13421,-0.02344,-0.03903,0.17606,-0.00381,-0.00093,0.02579,13.421,-2.344,-3.903,17.606,-0.381,-0.093,2.579
2001-11-14,0.10421,0.0574,0.21491,0.07088,0.10113,-0.04613,0.07873,0.0017,0.10251,0.0557,0.21321,0.06918,0.09943,-0.04783,0.07703,10.251,5.57,21.321,6.918,9.943,-4.783,7.703
2001-12-14,0.03177,0.04571,-0.02213,0.04646,0.02247,0.0508,0.01782,0.0015,0.03027,0.04421,-0.02363,0.04496,0.02097,0.0493,0.01632,3.027,4.421,-2.363,4.496,2.097,4.93,1.632
2002-01-14,-0.03834,-0.0731,0.05226,-0.10805,0.01641,-0.00636,-0.01609,0.0015,-0.03984,-0.0746,0.05076,-0.10955,0.01491,-0.00786,-0.01759,-3.984,-7.46,5.076,-10.955,1.491,-0.786,-1.759
2002-02-14,-0.08429,0.04118,0.04576,-0.08926,0.09212,0.06351,-0.02173,0.0015,-0.08579,0.03968,0.04426,-0.09076,0.09062,0.06201,-0.02323,-8.579,3.968,4.426,-9.076,9.062,6.201,-2.323
2002-03-14,0.03377,-0.02727,0.141,0.05993,0.00348,0.06126,0.04469,0.0015,0.03227,-0.02877,0.1395,0.05843,0.00198,0.05976,0.04319,3.227,-2.877,13.95,5.843,0.198,5.976,4.319
2002-04-14,-0.13348,-0.15754,0.06121,-0.19462,0.00433,-0.0835,-0.04966,0.0015,-0.13498,-0.15904,0.05971,-0.19612,0.00283,-0.085,-0.05116,-13.498,-15.904,5.971,-19.612,0.283,-8.5,-5.116
2002-05-14,-0.02583,-0.013,-0.02338,-0.03773,-0.01165,-0.00025,-0.01045,0.0015,-0.02733,-0.0145,-0.02488,-0.03923,-0.01315,-0.00175,-0.01195,-2.733,-1.45,-2.488,-3.923,-1.315,-0.175,-1.195
2002-06-14,0.07445,-0.06134,-0.13998,-0.10503,-0.17503,0.02479,-0.07025,0.0015,0.07295,-0.06284,-0.14148,-0.10653,-0.17653,0.02329,-0.07175,7.295,-6.284,-14.148,-10.653,-17.653,2.329,-7.175
2002-07-14,-0.12285,0.10843,-0.12909,-0.02222,-0.0619,-0.10166,-0.08113,0.0015,-0.12435,0.10693,-0.13059,-0.02372,-0.0634,-0.10316,-0.08263,-12.435,10.693,-13.059,-2.372,-6.34,-10.316,-8.263
2002-08-14,0.02293,-0.06366,0.03888,0.07287,-0.11562,-0.02938,0.00799,0.0014,0.02153,-0.06506,0.03748,0.07147,-0.11702,-0.03078,0.00659,2.153,-6.506,3.748,7.147,-11.702,-3.078,0.659
2002-09-14,-0.1088,-0.17645,-0.18721,-0.22645,-0.03444,-0.10014,-0.09997,0.0014,-0.1102,-0.17785,-0.18861,-0.22785,-0.03584,-0.10154,-0.10137,-11.02,-17.785,-18.861,-22.785,-3.584,-10.154,-10.137
2002-10-14,0.22245,0.02434,-0.14524,0.3538,0.10304,0.05517,0.07495,0.0014,0.22105,0.02294,-0.14664,0.3524,0.10164,0.05377,0.07355,22.105,2.294,-14.664,35.24,10.164,5.377,7.355
2002-11-14,0.07874,0.07406,0.20902,0.10299,0.18683,0.0407,0.06127,0.0012,0.07754,0.07286,0.20782,0.10179,0.18563,0.0395,0.06007,7.754,7.286,20.782,10.179,18.563,3.95,6.007
2002-12-14,-0.10368,-0.09513,-0.07154,-0.10838,-0.1665,0.00402,-0.05331,0.0011,-0.10478,-0.09623,-0.07264,-0.10948,-0.1676,0.00292,-0.05441,-10.478,-9.623,-7.264,-10.948,-16.76,0.292,-5.441
2003-01-14,-0.08201,-0.04969,-0.01438,0.00903,0.07296,-0.02261,-0.02344,0.001,-0.08301,-0.05069,-0.01538,0.00803,0.07196,-0.02361,-0.02444,-8.301,-5.069,-1.538,0.803,7.196,-2.361,-2.444
2003-02-14,0.00211,0.04754,-0.0567,-0.00128,-0.02514,0.00293,-0.01541,9.00E-04,0.00121,0.04664,-0.0576,-0.00218,-0.02604,0.00203,-0.01631,0.121,4.664,-5.76,-0.218,-2.604,0.203,-1.631
2003-03-14,0.02152,0.06029,-0.00444,0.00616,-0.00234,0.02734,0.01034,0.001,0.02052,0.05929,-0.00544,0.00516,-0.00334,0.02634,0.00934,2.052,5.929,-0.544,0.516,-0.334,2.634,0.934
2003-04-14,0.05576,0.1549,0.07228,0.08249,0.09636,0.00715,0.08281,0.001,0.05476,0.1539,0.07128,0.08149,0.09536,0.00615,0.08181,5.476,15.39,7.128,8.149,9.536,0.615,8.181
2003-05-14,-0.03717,-0.02547,-0.0061,0.03887,0.05305,0.04119,0.06351,9.00E-04,-0.03807,-0.02637,-0.007,0.03797,0.05215,0.04029,0.06261,-3.807,-2.637,-0.7,3.797,5.215,4.029,6.261
2003-06-14,0.04185,0.00592,0.01896,-0.06293,0.00509,-0.01346,0.01634,0.001,0.04085,0.00492,0.01796,-0.06393,0.00409,-0.01446,0.01534,4.085,0.492,1.796,-6.393,0.409,-1.446,1.534
2003-07-14,0.03003,-0.00837,0.03972,-0.01515,0.10987,-0.00919,0.02313,7.00E-04,0.02933,-0.00907,0.03902,-0.01585,0.10917,-0.00989,0.02243,2.933,-0.907,3.902,-1.585,10.917,-0.989,2.243
2003-08-14,0.00417,0.03973,0.11141,0.01132,-0.06478,0.06661,0.02491,7.00E-04,0.00347,0.03903,0.11071,0.01062,-0.06548,0.06591,0.02421,0.347,3.903,11.071,1.062,-6.548,6.591,2.421
2003-09-14,0.04827,0.01454,-0.00414,0.07706,-0.0161,-0.02918,-0.0091,8.00E-04,0.04747,0.01374,-0.00494,0.07626,-0.0169,-0.02998,-0.0099,4.747,1.374,-0.494,7.626,-1.69,-2.998,-0.99
2003-10-14,-0.05396,-0.02684,0.04251,0.01302,0.12246,-0.00055,0.06034,7.00E-04,-0.05466,-0.02754,0.04181,0.01232,0.12176,-0.00125,0.05964,-5.466,-2.754,4.181,1.232,12.176,-0.125,5.964
2003-11-14,-0.01645,-0.01172,0.0143,0.01363,0.01988,-0.00355,0.01661,7.00E-04,-0.01715,-0.01242,0.0136,0.01293,0.01918,-0.00425,0.01591,-1.715,-1.242,1.36,1.293,1.918,-0.425,1.591
2003-12-14,0.06457,0.08755,0.24825,0.02364,0.01949,0.1326,0.04553,8.00E-04,0.06377,0.08675,0.24745,0.02284,0.01869,0.1318,0.04473,6.377,8.675,24.745,2.284,1.869,13.18,4.473
2004-01-14,0.01023,0.08554,-0.06966,0.07067,0.02872,-0.00512,0.02307,7.00E-04,0.00953,0.08484,-0.07036,0.06997,0.02802,-0.00582,0.02237,0.953,8.484,-7.036,6.997,2.802,-0.582,2.237
2004-02-14,-0.04051,-0.02706,-0.02134,-0.0259,0.10542,0.03996,0.01547,6.00E-04,-0.04111,-0.02766,-0.02194,-0.0265,0.10482,0.03936,0.01487,-4.111,-2.766,-2.194,-2.65,10.482,3.936,1.487
2004-03-14,-0.06031,-0.0615,-0.0212,-0.04829,-0.05805,-0.01375,-0.01069,9.00E-04,-0.06121,-0.0624,-0.0221,-0.04919,-0.05895,-0.01465,-0.01159,-6.121,-6.24,-2.21,-4.919,-5.895,-1.465,-1.159
2004-04-14,0.04813,-0.01868,0.00679,-0.03996,-0.07843,0.02308,-0.02421,8.00E-04,0.04733,-0.01948,0.00599,-0.04076,-0.07923,0.02228,-0.02501,4.733,-1.948,0.599,-4.076,-7.923,2.228,-2.501
2004-05-14,0.00383,0.03907,-0.03226,0.00681,0.01911,0.0228,0.01412,6.00E-04,0.00323,0.03847,-0.03286,0.00621,0.01851,0.0222,0.01352,0.323,3.847,-3.286,0.621,1.851,2.22,1.352
2004-06-14,0.08883,0.04756,0.02644,-0.00497,0.08607,0.02682,0.02157,8.00E-04,0.08803,0.04676,0.02564,-0.00577,0.08527,0.02602,0.02077,8.803,4.676,2.564,-0.577,8.527,2.602,2.077
2004-07-14,-0.00245,0.02623,-0.07405,-0.01225,-0.09415,0.04256,-0.03768,0.001,-0.00345,0.02523,-0.07505,-0.01325,-0.09515,0.04156,-0.03868,-0.345,2.523,-7.505,-1.325,-9.515,4.156,-3.868
