y,x
-4.13476181,-6.967123985
-4.148580074,-0.155925006
-1.752478004,3.853282928
-3.349122047,7.379466057
14.07470989,4.299098015
7.791650772,3.410779953
5.154678822,-0.081495002
3.293685913,-1.613131046
-13.2546196,-0.397289008
-7.714206219,-2.237365007
-15.26340008,-12.46319962
-15.22865009,-5.170734882
15.96218014,11.70545006
-8.684088707,-0.380199999
17.1384201,4.986704826
-1.468448997,2.493727922
8.503600121,0.937105
10.89431,4.280083179
13.03497028,3.960824013
-5.654672146,-4.49919796
8.321969032,3.656745911
0.507651985,-2.503972054
-5.022981167,-0.121901996
-2.305449009,-5.38803196
-1.876878977,4.010990143
1.348824978,6.265313148
-2.641649008,4.045659065
